"Pass []","re(Mode(1)) [g]"
1,4.21920138989927
2,5.85702418781766
3,5.99953993077217
4,6.11622567409375
5,6.19073768438383
6,6.2345264766343
7,6.2684835895771
8,6.29467888028847
9,6.31779801696706
10,6.33483802968125
